"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","date","duration"
56,"15:58:37","16:03:09","computer science","iya","campus m","3-4 kali",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,4,2025-04-25,4.53
57,"17:12:43","17:15:38","computer science - software engineering","iya","campus s","3-4 kali",5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,5,2025-04-25,2.92
58,"17:03:12","17:18:16","computer science","iya","campus b","3-4 kali",4,5,4,5,4,5,5,4,4,4,4,5,4,5,4,5,4,4,4,4,2025-04-25,15.07
59,"17:49:16","17:50:36","artificial intelligence","iya","campus s","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-25,1.33
60,"21:44:55","21:48:11","computer science","iya","campus m","1-2 kali",4,3,5,4,5,5,3,4,4,3,4,2,4,4,4,4,4,4,4,4,2025-04-25,3.27
61,"04:07:58","04:10:06","computer science","iya","campus b","1-2 kali",4,5,4,5,5,5,5,4,4,2,3,3,4,4,4,5,4,5,4,4,2025-04-26,2.13
62,"14:02:35","14:05:38","computer science","iya","campus b","1-2 kali",4,4,4,2,5,2,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2025-04-26,3.05
63,"14:09:59","14:11:55","cyber security","iya","campus b","3-4 kali",4,3,4,4,5,4,4,4,4,4,5,4,4,4,5,2,5,5,4,4,2025-04-26,1.93
64,"14:10:49","14:11:55","computer science","iya","campus b",">4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,1.1
65,"14:09:14","14:12:06","computer science","iya","campus b","3-4 kali",3,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2025-04-26,2.87
66,"14:11:17","14:12:34","computer science","iya","campus b","1-2 kali",3,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,5,2025-04-26,1.28
67,"14:09:50","14:16:00","computer science","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2025-04-26,6.17
68,"14:12:05","14:16:48","data science","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,4.72
69,"14:14:34","14:17:35","cyber security","iya","campus b","3-4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,3.02
70,"14:19:07","14:23:00","computer science","iya","campus b",">4 kali",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,2025-04-26,3.88
71,"14:22:01","14:24:17","computer science","iya","campus b","1-2 kali",4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,2.27
72,"14:27:16","14:29:30","computer science","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,2.23
73,"14:35:56","14:36:27","computer science","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,0.52
74,"14:31:44","14:37:21","computer science","iya","campus b","3-4 kali",4,4,5,4,5,4,4,4,5,5,4,5,5,5,4,5,5,4,3,4,2025-04-26,5.62
75,"14:46:53","14:48:49","computer science","iya","campus s","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,2025-04-26,1.93
76,"14:44:30","14:51:10","computer science","iya","campus s","1-2 kali",3,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,3,4,3,2025-04-26,6.67
77,"14:51:25","14:53:22","computer science - software engineering","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,1.95
78,"14:51:25","14:53:22","computer science - software engineering","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,1.95
79,"14:51:16","14:54:45","game application and technology","iya","campus m",">4 kali",3,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,2025-04-26,3.48
80,"14:53:09","14:55:49","computer science","iya","campus m","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,2.67
81,"15:02:48","15:06:34","computer science - software engineering","iya","campus s","0 kali",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2025-04-26,3.77
82,"15:02:30","15:09:13","computer science","iya","campus s","0 kali",4,4,4,4,5,5,3,4,4,2,4,3,5,5,5,5,4,4,2,2,2025-04-26,6.72
83,"15:06:38","15:09:48","computer science","iya","campus m","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,3.17
84,"15:10:25","15:12:14","information systems","iya","campus s","1-2 kali",4,4,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,2025-04-26,1.82
85,"15:09:52","15:17:29","computer science","iya","campus m","1-2 kali",3,3,5,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,1,2,2025-04-26,7.62
86,"15:32:58","15:33:59","computer science","iya","campus s","0 kali",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2025-04-26,1.02
87,"15:31:55","15:34:51","computer science","iya","campus s","0 kali",3,4,4,4,5,5,5,3,3,2,3,2,4,4,4,3,4,3,3,3,2025-04-26,2.93
88,"15:34:23","15:35:32","computer science","iya","campus s","0 kali",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2025-04-26,1.15
89,"15:45:02","15:50:35","computer science","iya","campus s","1-2 kali",3,4,4,4,4,4,4,4,4,2,4,2,4,4,3,4,3,3,2,4,2025-04-26,5.55
90,"15:50:40","16:00:42","computer science","iya","campus s","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,2025-04-26,10.03
91,"16:58:39","17:02:23","computer science","iya","campus m","3-4 kali",3,4,2,4,2,4,2,4,4,5,2,4,5,5,4,2,4,4,4,4,2025-04-26,3.73
92,"17:35:53","17:38:44","computer science","iya","campus s",">4 kali",5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2025-04-26,2.85
93,"17:34:38","17:47:26","computer science","iya","campus s","3-4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,12.8
94,"16:40:41","17:53:59","computer science","iya","campus s","1-2 kali",4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2025-04-26,73.3
95,"17:51:11","17:54:34","computer science - software engineering","iya","campus s","3-4 kali",4,5,4,4,5,5,4,5,3,4,3,3,4,4,4,4,4,4,4,4,2025-04-26,3.38
96,"17:57:15","18:02:20","computer science","iya","campus s","3-4 kali",4,4,4,3,4,5,5,4,4,2,3,2,3,4,3,3,3,4,4,4,2025-04-26,5.08
97,"18:10:56","18:13:40","computer science","iya","campus s","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2025-04-26,2.73
98,"18:12:09","18:15:05","computer science","iya","campus s","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,2.93
99,"18:20:11","18:23:50","interior design","iya","campus b",">4 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,3.65
100,"18:23:22","18:26:10","computer engineering","iya","campus b","1-2 kali",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2025-04-26,2.8
101,"18:38:31","18:41:03","cyber security","iya","campus b","3-4 kali",3,4,4,4,5,5,5,4,4,2,5,4,5,5,5,5,5,4,4,4,2025-04-26,2.53
102,"19:04:27","19:07:37","computer science","iya","campus s","3-4 kali",5,4,5,5,5,5,5,4,4,4,4,3,4,4,4,4,5,5,4,4,2025-04-26,3.17
103,"19:26:49","19:28:00","computer science","iya","campus b","1-2 kali",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2025-04-26,1.18
104,"19:35:33","19:37:29","computer science","iya","campus b","1-2 kali",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,1.93
105,"19:38:25","19:41:38","computer science","iya","campus b",">4 kali",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-26,3.22
106,"19:56:00","19:59:53","public relations","iya","campus m",">4 kali",5,5,5,5,5,5,3,5,4,3,5,5,5,5,5,5,5,5,3,3,2025-04-26,3.88
107,"19:59:10","20:01:28","computer science","iya","campus b","3-4 kali",4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2025-04-26,2.3
108,"21:32:06","21:35:40","computer science","iya","campus s","3-4 kali",5,5,5,4,5,5,5,5,4,4,5,3,4,4,2,2,5,5,5,5,2025-04-26,3.57
109,"23:55:45","23:59:47","information systems","iya","campus s",">4 kali",3,3,4,4,4,4,5,4,4,3,4,2,4,4,4,4,4,4,4,4,2025-04-26,4.03
110,"17:27:02","17:29:33","computer science","iya","campus m","1-2 kali",4,4,4,2,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,2025-04-27,2.52
111,"15:57:42","15:59:56","computer science","iya","campus s","0 kali",3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2025-04-28,2.23
112,"18:47:12","18:50:17","computer science","iya","campus b","3-4 kali",4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2025-04-28,3.08
113,"13:44:49","13:46:52","computer science","iya","campus s","0 kali",4,5,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,2,4,2025-04-29,2.05
114,"14:25:56","14:30:59","computer science","iya","campus b","1-2 kali",5,5,5,5,4,5,5,4,5,4,4,4,4,5,5,5,5,5,4,4,2025-04-29,5.05
115,"23:52:15","23:56:17","computer science","iya","campus b","1-2 kali",3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2025-04-29,4.03
116,"12:25:19","12:28:04","computer science","iya","campus b",">4 kali",4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,2025-05-05,2.75
